food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,Health_Label_Diabetes,Health_Label_Obesity,Health_Label_HighBP,Health_Label_LowBP
BFP198,Boti kebab,bfp_manual,554.2810668945312,132.8579559326172,3.062425136566162,9.22347927093506,9.267193794250488,2.0911314487457275,0.756249189376831,600.8294677734375,714.7971801757812,1926.085693359375,1.2067577838897705,98.67244720458984,95.6054229736328,9.987927436828612,78.14322662353516,221.64437866210935,1.4117698669433594,0.0276563297957181,0.5338876247406006,0.0012748116860166,0.1917954981327057,0.0065823155455291,0.1768766939640045,3.071747064590454,1.4708447456359863,0.8357123136520386,0.0,2.1769509315490723,0.0,12.02987003326416,0.1010074615478515,0.1007280796766281,3.1066999435424805,0.1453821361064911,0.0475751459598541,0.7209456562995911,12.02987003326416,8.261631965637207,86.90118408203125,1,1,-1,1
BFP199,Mutton seekh kebab,bfp_manual,560.464599609375,133.93788146972656,3.1081693172454834,11.250200271606444,8.434111595153809,1.3983994722366333,1.8839112520217896,113.4494857788086,431.5709228515625,257.3468933105469,0.0,117.44136810302734,105.9529266357422,19.833555221557617,102.16944122314452,269.5935363769531,2.194542646408081,0.0836123153567314,0.5092586278915405,0.0032738691661506,0.5028287172317505,0.1244859397411346,0.2310158908367157,0.0,0.2223296761512756,0.9405412673950196,0.0,8.268672943115234,0.0,11.780043601989746,0.1261809468269348,0.0914943888783454,3.96035361289978,0.1023702323436737,0.0433700121939182,0.6513226628303528,11.780043601989746,8.822129249572754,244.73753356933597,1,1,-1,1
BFP204,Soya chunks korma (Nutrinugget korma),bfp_manual,546.5907592773438,131.42710876464844,7.671975135803223,3.861602783203125,9.499078750610352,4.664626121520996,2.5699493885040283,2248.83984375,2138.18896484375,4320.55078125,3.3172497749328613,89.70457458496094,94.02738189697266,33.56621170043945,148.9761199951172,252.2684783935547,1.1835428476333618,0.1483855992555618,1.4610397815704346,0.0045727384276688,0.8137177228927612,0.1230398043990135,0.6241536140441895,8.44390869140625,3.270684242248535,1.2595380544662476,0.0,8.582106590270996,0.0,19.978904724121094,0.0613236837089061,0.1019240021705627,0.3340977132320404,0.3292187452316284,0.1151443496346473,1.8789143562316892,19.978904724121094,4.6620917320251465,295.5028686523437,1,1,-1,1
BFP205,Mushroom matar,bfp_manual,293.62286376953125,70.77049255371094,5.332342624664307,2.7919771671295166,4.107232093811035,1.393723726272583,3.132453680038452,519.3504028320312,811.157958984375,2560.03564453125,0.0,21.42462921142578,42.2718391418457,21.712589263916016,61.62757110595703,214.87384033203125,0.8128485083580017,0.0983157753944397,0.3953348994255066,0.0050306189805269,0.5645567178726196,0.0414590537548065,0.3661800622940063,0.0,1.997036576271057,10.34156608581543,0.0,21.214582443237305,0.0,20.56507873535156,0.0725601911544799,0.0242447983473539,0.605364203453064,0.3282393217086792,0.1106656268239021,3.524902582168579,20.56507873535156,14.891976356506348,1737.1214599609375,1,1,-1,1
BFP206,Soya chunks and peas (Nutrinugget matar),bfp_manual,342.63330078125,82.62155151367188,5.819057941436768,3.0291988849639893,5.108036518096924,1.6438199281692505,2.8574466705322266,640.478271484375,1026.657958984375,3128.073974609375,0.0,20.321874618530277,34.93378448486328,22.746654510498047,70.96722412109375,173.4892120361328,0.988318145275116,0.1096774488687515,0.4662756323814392,0.0032416670583188,0.6613772511482239,0.0480014346539974,0.4489363431930542,0.0,2.437938690185547,6.668615818023682,0.0,21.656837463378903,0.0,23.37250518798828,0.0882724002003669,0.0223148353397846,0.5399322509765625,0.2758844494819641,0.1045045107603073,1.6730164289474487,23.37250518798828,17.564260482788086,2049.01806640625,1,1,-1,1
BFP241,Vegetable curry with coconut ,bfp_manual,346.1748962402344,83.0712661743164,7.185318470001221,2.774009704589844,4.655509471893311,1.411500096321106,3.345585346221924,1806.5933837890625,659.0877685546875,1488.587158203125,0.0,19.625953674316406,33.57814025878906,23.16178131103516,43.3975830078125,215.46826171875,0.9468955993652344,0.1207368746399879,0.6169766187667847,0.002460909076035,0.296646386384964,0.0357940644025802,0.4542700052261352,0.0,1.322406530380249,5.2777910232543945,0.0,19.42310905456543,0.0,23.59506225585937,0.0951199010014534,0.0222213845700025,0.6352805495262146,0.3086971640586853,0.0986150652170181,1.7152162790298462,23.59506225585937,18.73185539245605,1287.8861083984375,1,1,-1,1
BFP242,Curd with potatoes (Dahi aloo),bfp_manual,249.5955047607422,59.90421676635742,7.1462483406066895,1.5634292364120483,2.720989227294922,1.82039737701416,1.1870113611221311,539.6506958007812,579.461181640625,1432.53759765625,1.4501924514770508,36.3640022277832,43.33739471435547,15.87468147277832,51.990821838378906,259.2660217285156,0.4730554223060608,0.0525436401367187,0.5562015175819397,0.0018611242994666,0.1569308638572693,0.0226757377386093,0.2518058717250824,3.691399097442627,1.105312705039978,1.4799574613571167,0.0,5.750423431396484,0.0,11.791448593139648,0.036881823092699,0.0446097664535045,0.465567946434021,0.2378181219100952,0.0677044764161109,1.135058045387268,11.791448593139648,11.318717956542969,788.536865234375,1,0,1,0
BFP262,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),bfp_manual,518.75146484375,124.6274871826172,7.032143592834473,5.7596306800842285,8.16766357421875,3.8064990043640137,2.35186505317688,2530.896240234375,2248.068603515625,2858.409912109375,18.78862762451172,29.823823928833008,75.46633911132812,26.40521812438965,123.98434448242188,425.85595703125,0.9485283493995668,0.1410716325044632,0.9310640692710876,0.002127249026671,0.3258549571037292,0.0260953158140182,0.9759970903396606,14.18761157989502,3.2041232585906982,0.5871305465698242,0.0,26.14461898803711,0.0,23.37618064880371,0.2456640601158142,0.0805854275822639,1.8872219324111936,0.3338772058486938,0.1569770574569702,2.447607040405273,23.37618064880371,18.481765747070312,499.7816467285156,1,1,-1,1
BFP263,Dry arbi (Sookhi arbi),bfp_manual,558.90869140625,134.94505310058594,11.106585502624512,2.116119861602783,8.966598510742188,1.5514482259750366,2.4732165336608887,1098.13720703125,1839.850341796875,5631.38623046875,0.0,22.769018173217773,50.67097091674805,25.7568416595459,81.24510192871094,322.90496826171875,0.6811506152153015,0.1803664267063141,0.2301834672689438,0.0061929803341627,0.4097911119461059,0.0493544042110443,0.3078992068767547,0.0,4.5018696784973145,1.319345474243164,0.0,5.912807464599609,0.0,16.33182144165039,0.0431975647807121,0.0230694450438022,0.3958821296691894,0.136634424328804,0.1220025941729545,2.358816623687744,16.33182144165039,4.044879913330078,514.9962768554688,1,1,-1,1
BFP264,Masala arbi,bfp_manual,768.0505981445312,185.3769378662109,16.157772064208984,3.007230043411255,11.902779579162598,0.8109399080276489,3.099414825439453,1448.020263671875,2417.55029296875,7464.84765625,0.0,32.08297348022461,74.01738739013672,35.18970489501953,261.30645751953125,467.5267639160156,0.9936478137969972,0.27278533577919,0.2858065068721771,0.0083964532241225,0.4724995791912079,0.0636942684650421,0.3994146883487701,0.0,6.015923500061035,0.3127474784851074,0.0,3.953348398208618,0.0,17.317352294921875,0.0544844195246696,0.0313306935131549,0.5063263773918152,0.1076777353882789,0.1559218466281891,3.1793768405914307,17.317352294921875,1.631089687347412,98.55826568603516,1,1,-1,1
