food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,complete_meal,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,Health_Label_Diabetes,Health_Label_Obesity,Health_Label_HighBP,Health_Label_LowBP,complete_meal,Type
ASC011,Coco pine cooler,asc_manual,138.4729309,32.74876022,5.717686176,0.5550532341,0.999981463,5.523442745,0.2572466433,627.3115234,248.9610443,41.49863815,3.401203156,17.81040192,13.4688158,6.591314316,23.19581413,66.64993286,0.1257658452,0.01422720961,0.3051272631,0.0004757057177,0.1344886571,0.004627487157,0.06911152601,10.52753353,0.06752660871,0.06713789701,0,0.8437760472,0,2.924518824,0.02539333515,0.04306108505,0.05477556586,0.1425057799,0.01837343909,0.2913118899,2.924518824,2.468739033,96.55332184,1,0,1,1,0,1
ASC014,Hot cocoa,asc_manual,378.2355957,90.09999847,9.234031677,3.362827301,4.56282711,9.006282806,0,2752.146729,1257.172729,139.4764404,0,113.664917,101.4073257,16.05445099,24.20314026,132.1465912,0.3146596849,0.09455497563,0.8952879906,0.00376963336,0.009424082935,0,0.4235602021,0,0.2180104703,0,0,0.02356021106,0,7.221989632,0.03078534082,0.1046073288,0.1020942405,0.3204188347,0.03879581019,1.865968585,7.221989632,1.894240856,189.1099548,1,0,1,1,0,1
ASC015,Cold coffee with ice cream,asc_manual,286.6069641,67.84875488,11.24477673,1.570149183,2.109452724,11.18009949,0.007960199378,1283.980103,567.9602051,67.66169739,1.170149326,53.29353333,44.9791069,7.255721092,13.84477615,90.26865387,0.1237810925,0.02845771052,0.5074626803,0.001592039829,0.02487562224,0,0.1621890515,3.621890545,0.1070646793,0,0,0.04278606921,0,3.146268606,0.01631840691,0.05701492354,0.2865671813,0.1771144271,0.01771144383,1.542288542,3.146268606,0.8398009539,81.39303589,1,0,1,1,0,1
ASC016,Banana milkshake (Kele milkshake),asc_manual,274.3270569,65.30644989,9.145586014,1.843299627,2.371230125,7.95600605,0.2558610737,1423.067993,634.168457,87.1895752,0,62.63907242,52.77221298,7.916642666,13.60868263,102.4254684,0.1317510903,0.0338986963,0.4949348867,0.004052098375,0.04755426571,0,0.1930824816,0,0.12503618,0.02315484732,0,0.2547033131,0,5.738350391,0.01681910269,0.06221418083,0.09848046303,0.2177568674,0.0799594745,1.209840775,5.738350391,1.980318427,134.2981262,1,0,1,1,0,1
ASC017,Mango milkshake (Aam milkshake),asc_manual,239.1279907,56.90112305,7.231504917,1.726751089,2.345879078,7.148523331,0.2644163072,1394.571045,633.5583496,88.45006561,0,62.33333206,50.49873352,6.171308041,13.27369881,79.06610107,0.1547679305,0.03350773454,0.7496483922,0.0048382557,0.03665260226,0,0.1876511872,0,0.150773555,0.5218002796,0,0.6708860993,0,15.09957886,0.01944022626,0.06158931181,0.07827004045,0.1891279817,0.03720393777,1.227566838,15.09957886,5.65485239,301.5471191,1,0,1,1,0,1
ASC018,Pineapple milkshake (Ananas milkshake),asc_manual,235.0617218,55.71769333,7.624691486,1.659259319,2.228806734,7.600000381,0,1336.790161,599.5061646,68.14814758,0,59.91769409,47.88148117,5.142386913,14.05432034,65.67900848,0.1135802492,0.02205761336,0.4691358209,0.001975308638,0.120164603,0,0.1827160418,0,0.1135802492,0,0,0,0,4.788477421,0.02469135821,0.05596707761,0.05596707761,0.1794238687,0.02798353881,0.9777777195,4.788477421,2.803292274,100.0823059,1,0,1,1,0,1
ASC019,Orange milkshake (Narangi milkshake),asc_manual,241.5023499,57.4150238,7.107042313,1.864788771,2.523943663,7.078873158,0,1525.070435,683.9436646,77.74647522,0,67.41783905,55.47042084,5.303286552,14.62535191,73.42723083,0.1061032936,0.02140845172,0.5352112651,0.002253521001,0.01032863837,0,0.1896713525,0,0.1403755844,0,0,0,0,5.275117397,0.02065727673,0.06291079521,0.05446009338,0.2042253464,0.02488262765,1.162441254,5.275117397,3.385915518,115.2582169,1,0,1,1,0,1
ASC021,Sweet Lassi (Meethi lassi),asc_manual,151.1864471,35.66101837,6.508474827,1.288135529,0.6779661179,6.508474827,0,431.6384277,178.5310669,22.59886932,2.485875607,45.64971924,38.46327591,4.384181023,18.30508423,63.50282669,0.03163841739,0.005423728842,0.451977402,0,0,0,0.1627118587,6.327683449,0.01129943505,0,0,0,0,4.067796707,0.01355932187,0.06101695076,0.0451977402,0.1129943505,0.0225988701,0.5875706077,4.067796707,0.225988701,4.745762825,1,0,1,1,0,1
ASC022,Lassi (salted),asc_manual,79.42941284,18.84494209,1.856243372,1.354937911,0.7186296582,1.843697667,0.01792675629,451.6355591,191.6001129,26.17424774,2.598936796,47.78381729,40.39220428,4.839929104,65.4016571,67.37389374,0.03613703325,0.0007678677212,0.4749025404,7.44E-05,0.002486709971,0.003544004634,0.1680389792,6.615475655,0.01269344334,0.007147076074,0,0.08623745292,0,4.269220352,0.01448316593,0.06386887282,0.04894861206,0.1182634383,0.02385705896,0.6150029302,4.269220352,0.2409923226,5.288245678,1,0,1,1,1,1
ASC025,Cucumber sandwich (Kheere ka sandwich),asc_manual,792.8148193,188.5979004,25.76510239,4.798436165,7.997695446,1.643292189,2.449218273,4322.51416,1808.724243,287.5267639,17.53086281,87.83538818,62.30041122,21.60493851,362.6423035,154.0576172,1.019382715,0.09481481463,3.576666594,0.002748971106,0.312757194,0.01975308731,0.4561316669,78.84774017,0.2052263469,0.6241975427,0,4.687242508,0,21.34111023,0.1171193421,0.04481481388,0.9376543164,0.1905349791,0.06037037075,1.191316843,21.34111023,2.514403343,129.5432129,2,2,0,0,1,1
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),asc_manual,1223.061768,291.4269104,28.54493713,9.528888702,16.1376133,2.816131592,4.029465199,5981.631836,5583.695313,2667.59668,17.53086281,94.03292084,134.2695465,56.1934166,364.9900513,252.8230438,1.583168745,0.2758847773,4.208353996,0.002337448532,0.6316872239,0.1135802492,1.063127518,78.84774017,1.122921824,4.000740528,0,6.790123463,0,36.27938461,0.2344032973,0.06950616837,3.233950615,0.2502057552,0.09946502,0.586378634,36.27938461,5.199588776,1274.975342,2,2,2,2,1,1
ASC032,Vegetarian club sandwich,asc_manual,829.6741943,198.3292542,19.68419266,5.451312065,11.32917023,2.080422401,2.056651592,4721.687012,3935.814941,1208.384644,23.13122177,122.4392166,120.4915543,18.65384674,305.3633118,159.7677307,0.7746757269,0.07411764562,3.111809731,0.002365007531,0.2446455508,0.01085972879,0.5756258965,85.76168823,1.23283565,3.268144608,0,15,0,21.15549088,0.09707390517,0.06695324183,0.7783559561,0.2036199123,0.07431372255,1.808732986,21.15549088,7.240573406,973.7390747,0,2,0,0,1,1
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),asc_manual,899.8164673,214.1118469,29.04496193,5.297377586,9.123984337,5.295166969,3.656041145,5161.195801,2211.029297,628.9768677,21.0539856,118.0475082,97.76477814,31.48884201,302.8827209,228.8174744,1.797544956,0.1381490976,3.599087477,0.004586118273,0.6318508983,0.4539845884,0.7803341746,89.3059082,0.2473393381,0.4530591369,0,14.89881706,0,22.31636238,0.126555264,0.06803341955,1.439293027,0.2090745568,0.09607969224,1.712712049,22.31636238,2.780668497,2220.142578,2,2,2,2,1,1
ASC036,Vegetable and mayonnaise sandwich,asc_manual,1020.228394,244.2624969,23.2014122,4.473674774,15.39840412,2.348879814,2.351200581,4467.598145,6614.597168,2487.480957,21.87408447,79.5275116,55.55429459,16.69971466,342.6957703,143.1024933,0.914824307,0.09169838578,3.167972088,0.003183016321,0.3002488911,0.02415812574,0.4168155193,78.6969223,2.663140535,1.792115688,0,9.374605179,0,24.96819115,0.1127452403,0.05696193129,0.8636017442,0.1055856571,0.08318448067,0.9820717573,24.96819115,18.88713837,2218.252686,0,2,2,2,1,1
ASC038,Sweet open sandwich,asc_manual,1026.932251,244.2458038,39.24372864,4.985423565,8.153898239,12.23084736,2.356610298,4453.8125,1778.485718,289.966095,18.0508461,85.1844101,60.49559021,22.74440765,205.2708435,230.9661102,1.146101713,0.1303389817,3.622372627,0.006576271262,0.3888135552,0.01355932187,0.4261016846,81.18643951,0.228644073,0.1274576187,0,1.428135633,0,22.12203407,0.1183050871,0.05644067749,0.9925423861,0.1299999952,0.2142372876,0.5637288094,22.12203407,2.80169487,146.6779633,2,2,0,0,1,1
ASC041,Pea potato sandwich (toasted) (Matar aloo ka sandwich),asc_manual,692.5997925,164.90065,25.16836166,4.604915619,5.427161217,1.3327775,2.885905504,576.4678345,962.9064941,2954.178467,0,64.15314484,61.79981995,26.6628952,262.6282043,342.7329407,1.107150435,0.1238447204,2.895105362,0.001989535755,0.4341383874,0.02306610346,0.5197727084,0,2.311007023,1.747023344,0,7.862656116,0,23.63707733,0.1357299536,0.03565063328,1.199886918,0.2600230575,0.1038177162,1.109565139,23.63707733,15.87464905,289.2605286,2,2,2,2,1,1
